NIM,Program Studi,Sebutkan kategori jenis pekerjaan yang Anda lakukan di tempat bekerja!,Jelaskan tugas-tugas utama dalam pekerjaan Anda saat ini?,Apakah pekerjaan yang Anda lakukan di tempat bekerja sesuai dengan bidang keilmuan?,Seberapa erat hubungan bidang studi dengan pekerjaan Anda?,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [pembelajaran yang berkelanjutan dalam pekerjaan],Bidang usaha bekerja,Organisasi apa yang paling aktif Anda ikuti selama menjalani perkuliahan? (nama organisasi),IP,Sebutkan jenis kegiatan di organisasi yang aktif diikuti yang membantu mengasah kemampuan/skill Anda!,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [memulai pekerjaan]
14416003,Manajemen Rekayasa,Brand Building Wardah Face Care,Brand Guardian - Plan and Execute 360 Brand Campaign,ya,item1,5,C,MTI,3.35,"Lead Project di MTI, Sekretaris IECOM",5
14416005,Manajemen Rekayasa,Product manager,"Product Manager
- Membuat fitur untuk mencapai goals perusahaan
- Memaintain fitur agar sesuai dan berjalan dengan baik",ya,item1,5,J,Keluarga Mahasiswa Teknik Industri (MTI ITB),3.39,"Orientasi Jurusan, Kepanitiaan, Event",5
14416006,Manajemen Rekayasa,Information Technology,"As an IT Officer, Responsible to manage all devicesâ€™ reliability (â€˜ready to useâ€™ status) and productivity rate for more than 7000 devices of the electronic channel (ATM, CRM, and EDC); Working with the Software Engineer to maintain and develop the regional reporting dashboard; Implemented and supervised all information technology infrastructure (hardware, software, and network) for all work units",tidak,,5,K,Keluarga Mahasiswa Teknik Industri,3.27,Kepanitiaan Kaderisasi dan Badan Pengurus,5
14416008,Manajemen Rekayasa,,Mengelola produk,,,4,,MTI ITB,2.9,BPA,4
14416009,Manajemen Rekayasa,Human Resource - Compensation & Benefit,Compensation & Benefit,ya,item3,5,B,Unit Kesenian Sumatera Utara,3.45,Manajemen Sumber Daya Anggota,5
14416011,Manajemen Rekayasa,Sales dan analytics,Menjaga hubungan dan memenuhi kebutuhan client perushaan,tidak,,4,K,Keluarga Mahasiswa Buddhis,3.42,PPAB,5
14416012,Manajemen Rekayasa,Key Account Manager,Menjadi jembatan antara client dan team internal untuk memenuhi target serta rancangan program yang telah disetujui di awal kerja sama (Key Account),ya,item2,5,J,TEDxITB & Himpunan,3,Ketua Sponsorship yang membantu mengasah skill untuk bernegosiasi dan mengatur strategi penawaran,5
14416013,Manajemen Rekayasa,process excellence,"- project manager -> merencanakan, eksekusi/mempimpin, memonitor dan evaluasi project
- menganalisis masalah dan cara penyelesaiannya (terutama yang berhubungan dengan kegiatan operasional gudang)
- membuat dan melakukan presentasi dari hal yang dikerjakan",ya,item1,4,S,"MTI ITB, LFM ITB, US ITB, PSIK ITB, APRES ITB",3.83,"acara himpunan, project wisuda, kepanitiaan",5
14416014,Manajemen Rekayasa,Market/Consumer Research,,ya,,5,K,LSS ITB,3.52,"Kepanitiaan, berkesenian",5
14416015,Manajemen Rekayasa,-,"menganalisa data dan diagnosa isu yang dihadapi klien, merancang solusi untuk isu tsb, melakukan komunikasi untuk finalisasi solusi",ya,item2,4,M,KMB,3.5,-,4
14416016,Manajemen Rekayasa,"Marketing, pengembangan bisnis, product development, market research",pengembangan bisnis,ya,,2,S,MTI ITB,3.18,MTI ITB,1
14416017,Manajemen Rekayasa,Business Development,Business Development,ya,item3,4,J,Unit Tenis,3.64,Unit Tenis,4
14416018,Manajemen Rekayasa,"BIdang Teknik Dan Industri, Data Analyst, Financial Modelling, Policy Creator","1. Menganalisis price dan promo action
2. Menciptakan strategi objektif promo untuk setiap kategori produk dan selected sales channel
3. Membuat rekomendasi dan guideline price-promo action
4. Membuat mix management
5. Membuat portfolio investment tahunan",ya,item3,4,C,Keluarga Mahasiswa Teknik Industri,3.72,"Kegiatan Badan Panitia, Kajian, Perencanaan dan Pelaksanaan Acara Pengembangan Kemampuan SDM dan Pengembangan Komunitas & Masyarakat Sekitar",5
14416019,Manajemen Rekayasa,Associate Product Manager,"memastikan project IT berjalan dengan baik, unblock blocker yang ada pada task engineer, memberikan requirement dan scope yang jelas kepada engineer.",ya,item3,4,K,"MTI, KMB, UKT",3.5,MTI Consulting Group,5
14416020,Manajemen Rekayasa,Project manager,"Merancang project plan
Mengkoordinasikan tim
Stakeholder management
Inovasi ide proyek dan fitur aplikasi lainny
Pitching idea dan gather requirements dari sisi bisnis",ya,item2,5,J,KM ITB dan LFM ITB,3.59,"Initiating ideas, discussion, creating event and program planning",5
14416021,Manajemen Rekayasa,Business Development,,ya,item4,4,S,Himpunan Mahasiswa,3.07,Himpunan Mahasiswa,5
14416022,Manajemen Rekayasa,UI/UX,"Melakukan riset kepada user dari sistem, memperbaiki user experience",ya,item3,5,I,MTI ITB,2.75,Menjadi ketua divisi dan ketua departemen,4
14416023,Manajemen Rekayasa,Customer care,Customer care,ya,item4,4,H,Himpunan MTI,3.28,IECOM,5
14416024,Manajemen Rekayasa,Technology Consulting - ERP Implementation,Mencari solusi atas permasalahan perusahaan khususnya di area implementasi teknologi,ya,item2,5,M,Himpunan program studi,3.66,Kepanitian lomba,5
14416025,Manajemen Rekayasa,Sales,Konsultasi lingkungan,tidak,item4,4,S,Ice skating,3.59,Himpunan,4
14416027,Manajemen Rekayasa,"Riset sekunder, Riset primer, Analisis dan Sintesis, Presentasi",Konsultan bisnis spesialisasi pada transaksi korporasi,ya,item2,4,M,MTI ITB,3.27,"Kepanitiaan, Kaderisasi, Diskusi, Kegiatan Jejaring Alumni dan Dosen, Tugas Kelompok Jurusan dan Lintas Jurusan",5
14416028,Manajemen Rekayasa,Data analyst,"Bekerja bersama stakeholder dan membantu dalam proses pembuatan reports dan dashboard atau monitoring tools lainnya.

Membuat rekomendasi data-driven dan memonitor performansi dari rekomendasi tersebut",tidak,,4,K,MTI,3.38,Time management,4
14416029,Manajemen Rekayasa,konsultansi,konsultan ISO,ya,item2,4,S,paguyuban,2.84,Interpreneur club,4
14416030,Manajemen Rekayasa,Supply chain management,Supply chain,ya,item1,5,C,Keluarga Mahasiswa Teknik Industri,3.74,Ketua acara iecom,5
14416031,Manajemen Rekayasa,Marekting,Brand marketing dan data analytics,ya,,4,C,MTI dan UKB Debust ITB,3.67,-,4
14416032,Manajemen Rekayasa,business developmet,"menyusun proses bisnis untuk project bisnis yang baru, membuat feasibility study, dan memaintain project yang sudah berjalan",ya,item1,5,S,Radio Kampus ITB dan Himpunan Mahasiswa Teknik Industri,2.84,"public speaking, money management, conflict management",4
14416033,Manajemen Rekayasa,Sales,"Mencari pelanggan baru, mengenali potensi pasar, membuat proposal penawaran",tidak,kurang erat,2,H,Infinity ITB,,"Pengabdian masyarakat, show infinite showdown, infinite war",4
14416034,Manajemen Rekayasa,Analisa dan pemecahan masalah,,ya,item2,5,M,MTI ITB,3.54,PABRIK MTI 2018 (Ospek Jurusan TI/MR ITB),4
14416035,Manajemen Rekayasa,Konsultan,,ya,item1,5,S,MTI,3.59,Wisuda MTI,5
14416037,Manajemen Rekayasa,Supply chain,Demand forecast,ya,item3,4,C,Himpunan Mahasiswa Teknik Industri,3.68,Kepanitiaan,4
14416038,Manajemen Rekayasa,Manufacture Engineering,Manufacture engineering,tidak,item3,4,G,LPMRI,3.24,Asisten lab,4
14416039,Manajemen Rekayasa,"Project management, product development, software development, data analytics, business process management & reengineering, technological assessment, due diligence","Berkontribusi terutama pada pengembangan produk end-to-end dan proses manajemen untuk digitalisasi proses bisnis dari perusahaan menengah ke besar yang bermitra dengan melakukan tugas-tugas berikut:
â€¢ Ditugaskan untuk mengelola beberapa penawaran produk B2B, terutama platform CRM, e-plantation, dan dokumen cerdas
â€¢ Melakukan uji tuntas dan analisis bisnis terhadap beberapa perusahaan menengah hingga besar dari sektor manufaktur kelapa sawit sebagai klien platform e-plantation Arvis
â€¢ Berkontribusi dalam mengelola dan memonitor proses pengembangan dan manajemen produk berbasis agile/scrum
â€¢ Memberikan bantuan dan pemecahan masalah dalam operasi sehari-hari tim manajemen produk",ya,item3,5,B,"Keluarga Mahasiswa Teknik Industri (MTI) ITB, Liga Film Mahasiswa (LFM) ITB",2.9,MTI Consulting,4
14416041,Manajemen Rekayasa,,,,,4,,MTI / IECOM,3.57,Diskusi,4
14416042,Manajemen Rekayasa,Tenaga Profesional,,ya,,5,J,Lingkung Seni Sunda ITB ,2.85,Pembinaan dan Pelatihan Kesenian,5
14416043,Manajemen Rekayasa,"Membuat dokumen, menghubungi klien",Membantu berbagai fungsi dalam kegiatan operasional sehari-hari.,ya,kurang erat,5,A,KMB dan MTI,,Majalah,2
14416044,Manajemen Rekayasa,Marketing,,ya,item2,4,A,MTI ITB,3.63,"Company seminar, kunjungan industri",5
14416045,Manajemen Rekayasa,-,mengoordinir dan mengeksekusi suatu proses dalam project IT,tidak,,4,S,Keluarga Mahasiswa Teknik Industri,3.61,MTI Consulting,4
14416046,Manajemen Rekayasa,Investasi,Management Asset to conduct capital gain,tidak,item4,4,K,PMK ITB,3.46,Leadership,4
14416047,Manajemen Rekayasa,tax support,tax support. membantu perusahaan mengurus perpajakan,tidak,item5,2,H,MTI,2.66,menjadi ketua divisi,2
14416048,Manajemen Rekayasa,Marketing,Analisis Data,ya,,5,F,MTI ITB,3.07,"Leadership, kemampuan management dan problem solving",5
14416049,Manajemen Rekayasa,Operasional,Menyelesaikan program management development program & bertanggung jawab untuk mengelola proses retur pelanggan,ya,item1,4,S,Liga Film Mahasiswa ITB,3.61,Kepanitiaan,4
14416050,Manajemen Rekayasa,Konsultan Human Resource,Konsultan yang berhubungan tentang SDM,ya,erat,5,S,HMTI,,Tidak ingat,5
14416051,Manajemen Rekayasa,Business Development,Menganalisis data untuk menyusun strategi pengembangan bisnis,ya,item2,5,K,"MTI ITB, PSM-ITB",3.71,Badan pengurus dan kepanitiaan,5
14516001,Teknik Bioenergi dan Kemurgi,,Mendevelop kode yang maintanable dan stabil sesuai dengan spesifikasi yang diajukan,,,5,,Unit Kebudayaan Jepang,3.08,Event kebudayaan,2
14516002,Teknik Bioenergi dan Kemurgi,,"Analisis kebijakan, standar, dan penilaian kesesuaian yang berhubungan dengan standar bioenergi dan lingkup di sekitarnya",,,5,,Himpunan Mahasiswa Teknik Bioenergi dan Kemurgi,3.13,Semua kegiatan himpunan,5
14516003,Teknik Bioenergi dan Kemurgi,Dosen,"Pengajaran, penelitian, dan pengabdian kepada masyarakat",ya,item1,4,P,Himpunan Mahasiswa Teknik Bioenergi dan Kemurgi,3.55,Keprofesian,4
14516004,Teknik Bioenergi dan Kemurgi,Supply Chain,"1. Integration and System monitoring & Problem solving for B2C Supply Chain L'OrÃ©al (Inbound Model - SKY & Reservation Model - E-Luxe)
2. Responsible for E-Ops Project, Process, & System Improvement for SKY & E-Luxe
3. As a Key User for OMS, B2C 3PL WMS, and Platform WMS (SKY & E-Luxe)
4. Leading the E-Com Dashboard creation",tidak,item4,5,C,Himpunan Mahasiswa Teknik Bioenergi,3.88,Kepanitiaan Osjur,5
14516005,Teknik Bioenergi dan Kemurgi,Process Safety Engineering,"Assist the Lead Engineer with the preparation of the Technical Safety scope of work from the overall project scope of work.
Perform risk assessments and be accountable for the quality of process safety deliverables.
Develop/improve in-house process safety work models/software.
Develop/improve in-house process safety training packages.
Assist in the preparation of proposals.",ya,item1,4,M,Debust ITB,3.74,University Day Out,4
14516006,Teknik Bioenergi dan Kemurgi,handle nasabah dan marketing,marketing and relationship officee,tidak,item4,4,K,himpunan program studi,3.81,program kerja divisi akademik: memberi tutor,4
14516009,Teknik Bioenergi dan Kemurgi,Pekerjaan Keinsinyuran,,ya,item1,5,M,HMTB 'Rinuva' ITB,3.02,Pengurus Himpunan,5
14516010,Teknik Bioenergi dan Kemurgi,Konsultan dan Trainer,"1. Menjadi konsultan komunikasi, terutama strategi komunikasi dan pengukuran komunikasi
2. Menjadi trainer dalam materi pengukuran dan evaluasi program komunikasi",tidak,item5,4,M,MWA-WM,3.62,"MWA-WM, SEF, UKT",2
14516011,Teknik Bioenergi dan Kemurgi,Konsultan ,"Konsultan process safety, melakukan studi studi yang berkaitan dengan process safety",ya,item2,5,M,Himpunan Mahasiswa Teknik Bioenergi dan Kemurgi,3.45,Badan kepengurusan,2
14516013,Teknik Bioenergi dan Kemurgi,IT,mencari bugs dan melakukan testing pada sistem,tidak,,1,J,Keluarga Mahasiswa Buddhis,3,banyak kegiatan kepanitian,1
14516016,Teknik Bioenergi dan Kemurgi,Koordinator Marketing Nasional,Marketing dan Komunikasi Perusahaan,tidak,item4,2,S,PSM-ITB,3.33,Program Kebudayaan skala Internasiona,2
14516017,Teknik Bioenergi dan Kemurgi,RM Commercial Branch Funding Sales,Menjaga hubungan relasi antara lembaga melalui kepercayaan lembaga tersebut untuk menginvestasikan dana perusahannya.,tidak,item5,2,K,Kongres KM ITB,3.05,Kegiatan Pemira Presiden Kabinet KM-ITB dan Penentuan Garis Besar Haluan Program Kerja untuk Kabinet KM-ITB,2
14516019,Teknik Bioenergi dan Kemurgi,Sales,Memperkenalkan teknologi aplikasi gas oksigen dalam industri baja dan gelas,tidak,item3,5,D,"Himpunan Mahasiswa Teknk Bioenergi dan Kemurgi ""RINUVA"" ITB",2.96,Badan Pengurus,4
14516023,Teknik Bioenergi dan Kemurgi,Supply Planner,,tidak,item5,5,G,HMTB ITB,2.91,Kegiatan di Divisi Kekeluargaan,5
14516024,Teknik Bioenergi dan Kemurgi,Teknik proses,"Process Engineer
- Mengawasi jalannya proses yang sudah berjalan agar tetap berjalan normal
- Melakukan riset agar dapat mengembangkan proses yang sudah ada
",ya,item1,4,S,Himpunan Mahasiswa Teknik Bioenergi dan Kemurgi,3.04,Focus Group Discussion,4
14516027,Teknik Bioenergi dan Kemurgi,Venture Building,membantu startup dan entrepreneur untuk meningkatkan kapabilitas bisnisnya dan mendapatkan pendanaan,tidak,,2,M,Pelita Muda ITB,2.82,Design Thinking ,2
14516028,Teknik Bioenergi dan Kemurgi,Marketing,Marketing kredit dan non-committed line,tidak,item5,1,K,UT,3.52,HMTB,1
14516029,Teknik Bioenergi dan Kemurgi,Administrasi Keuangan,Menyusun anggaran dan program satuan kerja,tidak,item4,4,P,HMTB RINUVA,3.05,kaderisasi,2
14516030,Teknik Bioenergi dan Kemurgi,,Mengembangkan produk baru berupa kosmetik untuk perusahaan,,,2,,HMTB ITB,3.45,Kepanitiaan dan kepengurusan,4
14516032,Teknik Bioenergi dan Kemurgi,,,tidak,,4,C,HMTB,2.59,Pagelaran Olimpiade dan pameran,4
14516034,Teknik Bioenergi dan Kemurgi,Optimalisasi,Review proses dan optimalisasi proses,tidak,item2,4,C,Unit Tennis (UT) ,3.09,"Latihan mingguan rutin, panitia lomba",2
15016001,Teknik Sipil,Transportasi,Project management,ya,item2,4,S,HMS,3.56,Dikusi bersama,5
15016002,Teknik Sipil,Pekerjaan administrasi dan teknis,"Melaksanakan pengembangan dan pengelolaan sumber daya air, irigasi, sungai serta rawa dan pantai.",ya,item2,4,F,Keluarga Mahasiswa Islam (GAMAIS) ITB,3.23,Penyambutan Mahasiswa Baru (PMB) GAMAIS ITB,4
15016003,Teknik Sipil,desain perbaikan tanah,mendesain pekerjaan geoteknik,ya,item1,4,F,Himpunan Mahasiswa Sipil ITB (HMS ITB),3.57,"Diskusi dengan anggota himpunan, rapat organisasi",4
15016007,Teknik Sipil,.,kontraktor,ya,item2,4,F,Ukawangi ITB,3.18,"TFT, DMT",4
15016009,Teknik Sipil,,Melakukan analisa pemberian kredit keperusahaan dengan GAS minimal Rp. 50 miliar/tahun baik dari aspek kualitatif maupun kuantitatif,,,2,,Unit Kesenian Sumatera Utara,3.24,Pelaksanaan Wisuda UKSU,2
15016011,Teknik Sipil,"data interpretation, analisis dan desain bangunan","analisis, desain, interpretasi data lapangan, dan kajian teknis di bidang teknik sipil khususnya geoteknik",ya,,2,F,Himpunan,3.53,menjadi bagian dari badan pengurus himpunan,2
15016012,Teknik Sipil,Laporan,Laporan,tidak,item2,5,H,Ukm,3.33,Hms,5
15016015,Teknik Sipil,Manajemen,"Perencanaan dan scheduling
Manajemen konstruksi
Presentasi ke BoD",ya,item3,4,F,Unit Renang dan Polo Air,3.42,Kepanitiaan dan orientasi anggota baru,4
15016017,Teknik Sipil,Sales,"Account manager b2b
Produk software untuk estimasi biaya konstruksi
Client dari perusahaan developer, kontraktor, konsultan desain qs dan pengawasan

Tugas:
1. Melakukan prospecting dan menyusun strategi untuk penetrasi market baru (daerah tertentu, proyek tetentu, kerja sama dengan asosiasi profesi)
2. Presentasi
3. Negosiasi
4. Memberikan edukasi dan solusi atas kesulitan yang dihadapi klien, sebagai konsultan
5. Memberikan pelatihan kepada sales lain
5. Maintain hubungan bisnis jangka panjang",ya,item4,4,F,Himpunan mahasiswa sipil,3.87,Seminar keprofesian,4
15016018,Teknik Sipil,Pengawas Lapangan,Group Leader ,tidak,item3,5,B,HMS ITB,3.14,Wisuda Mahasiswa,5
15016020,Teknik Sipil,Civil engineer,,ya,item1,5,F,UKMR ITB,3.4,Kepanitiaan,5
15016021,Teknik Sipil,Staf Penilaian Real Estate,"Penilaian Real Estate, meliputi penilaian aset berupa properti seperti tanah, bangunan dan seluruh aset yang tidak bergerak (tidak termasuk mesin dan tanaman/tumbuhan/hewan ternak), mulai dari inspeksi, verifikasi data, analisis, hingga penulisan laporan",tidak,,2,K,-,3,-,2
15016023,Teknik Sipil,Manager,"Mengoordinasikan tim, Membuat sistem pekerjaan yang lebih efektif dan efisien untuk memecahkan masalah dan mempercepat proses kerja, Menjadi penerjemah Atasan dengan bahasa Mandarin menjadi Indonesia, ",tidak,,5,I,"Himpunan Mahasiswa Sipil, Unit Renang dan Polo Air, Unit Kebudayaan Melayu Riau",3.73,"Rapat dan bertukar pendapat, Melaksanakan kegiatan kaderisasi (pendidikan untuk regenerasi), ",4
15016024,Teknik Sipil,Engineering,,ya,item1,5,M,HMS-ITB,3.35,"Kaderisasi, pelatihan software",4
15016027,Teknik Sipil,Engineering,Engineer,ya,item1,5,P,Himpunan Mahasiswa Sipil,3.52,Sipil Bangun Desa,5
15016028,Teknik Sipil,Structural designer,Desain Struktur,ya,item1,2,M,HMS,3.83,-,4
15016030,Teknik Sipil,Desain struktur,Mendesain struktur sebagai konsultan,ya,,4,F,HMS ITB,3.43,Rapat dan diskusi ,5
15016031,Teknik Sipil,Teknis dan Administratif,Mendukung pekerjaan dari segi administrasi dan teknis dari proyek yang dikerjakan oleh BPPW Jawa Barat,ya,item1,4,F,ITB Student Orchestra,3.5,ISO Annual Concert dan kesempatan menjabat menjadi ketua organisasi ISO tahun 2018-2019,5
15016032,Teknik Sipil,Product Management,Product Management,tidak,item3,4,K,Himpunan Mahasiswa Teknik Sipil,3.25,Kaderisasi,4
15016033,Teknik Sipil,Manager,"Sebagai program manager. Memanage program-program yang ada (administrasi dan eksekusi), berkomunikasi dengan klien dan membuat strategi perusahaan untuk di masa depan.",tidak,item4,4,P,Femme in STEM,3.5,Menjadi ketua bidang/ kepala untuk menyelenggarakan acara/program,5
15016034,Teknik Sipil,Field Engineer ,Field Engineer. Plan and manage a scope of project given by construction manager,ya,item1,4,F,"HMS, UBT, KSEP",3.73,Komunikasi ,4
15016035,Teknik Sipil,Desain Geoteknik,Desain dalam bidang Geoteknik,ya,,4,F,Himpunan,3.86,Himpunan,4
15016036,Teknik Sipil,engineer,"Sebagai BIM Engineer
- koordinasi proyek agar berjalan dengan efisien",ya,item1,4,F,himpunan program studi (HMS) ,3.5,ikut panitia dalam acara,4
15016037,Teknik Sipil,Proposal Engineer,"Melakukan perhitungan estimasi biaya konstruksi
Menyiapkan proposal komersial dan teknikal untuk tender",ya,item3,4,F,Himpunan Mahasiswa Sipil ITB (HMS ITB),3.46,SIBADES HMS,4
15016041,Teknik Sipil,project control,,ya,,4,F,Himpunan Mahasiswa dan Unit Olahraga,3.33,Kegiatan Pengabdian Masyarakat,4
15016044,Teknik Sipil,Engineer,"Mendesain pabrik, membuat BQ, timeschedule, komunikasi dgn kontraktor",ya,item1,4,A,Keluarga Mahasiswa Buddhis,3.79,Sangat membantu,5
15016045,Teknik Sipil,Cost Controller,,ya,item1,4,F,HMS ITB,3.36,"Pelatihan, lomba",4
15016047,Teknik Sipil,Account Manager,Mengembangkan penjual di pada platform e-niaga,tidak,item4,4,S,HMS ITB,3.53,-,4
15016048,Teknik Sipil,Perjanjian Kerja Waktu Tertentu,Melakukan pengadaan dokumen Desain Engineering Detail beserta mempersiapkan finalisasi dokumennya. Membuat desain dan estimasi penanganan/perbaikan Infrastruktur perhubungan darat dan drainase.,ya,item1,2,F,ITB Dance and Performance Art Community (INFINITY),3.39,Infinite Showdown,2
15016051,Teknik Sipil,Engineering,"Mendesain struktur, fondasi, dan mengecek design drawing.",ya,item1,5,F,Liga Film Mahasiswa,3.32,Menjadi pengurus organisasi maupun kepanitiaan.,5
15016052,Teknik Sipil,Analis Bisnis dan Manajemen,,tidak,item2,4,M,Unit Kesenian Sulawesi Selatan,3.7,Laporan Pertanggung Jawaban,4
15016053,Teknik Sipil,Civil Engineer,Civil Engineer,ya,,5,D,Infinity ITB,3.61,Event Eksternal,5
15016056,Teknik Sipil,Konsultan,,ya,item1,4,F,Himpunan Mahasiswa Sipil (HMS) dan Unit Softball ITB,3.63,"Kaderisasi, Sipil Bangun Desa, Monitoring Bidang Olahraga, Turnamen Softball Antar Klub",4
15016058,Teknik Sipil,Bidang Teknik dan Industri,Administratif dan pengolahan data internal,tidak,item3,4,O,Himpunan Mahasiswa,3.45,Kegiatan kepanitiaa ,4
15016061,Teknik Sipil,Marekting dan analisis kredit,Analisis kredit dan networking dengan nasabah.,tidak,,4,K,HMS,3.68,HMS,4
15016062,Teknik Sipil,pengawasan,melakukan penyelenggaraan jalan dan jembatan,ya,item2,5,M,Pelita Muda ITB,3.15,Kemasyarakatan,5
15016064,Teknik Sipil,Pemasaran,Membuat strategi pemasaran online,tidak,,4,G,HMS,3.31,Forum diskusi,5
15016065,Teknik Sipil,"Strategic Management, Continual Improvement, Management System Development","Mewujudkan pencapaian KPI project melalui pengelolaan kegiatan manajemen strategis, pengendalian sistem manajemen mutu, pengendalian sistem manajemen risiko, serta konsistensi pelaksanaan kegiatan continuous improvement di tingkat job site",ya,item4,5,B,Unit Kesenian Sumatera Utara,3.23,Menjadi Ketua Umum organisasi UKSU,5
15016066,Teknik Sipil,Banker,Corporate Performance Management,tidak,item5,4,K,Himpunan Mahasiswa Sipil,3.77,"Forum, kegiatan-kegiatan eksternal",4
15016067,Teknik Sipil,Konstruksi,"Management konstruksi= administrasi dokumen, asistant quantity surveyor (negosiasi klaim progress kontraktor, perhitungan BQ, dll)",ya,,4,F,HMS ITB,3.43,Anggota pengurus himpunan,4
15016069,Teknik Sipil,Mine Design,Melakukan perencanaan short term pertambangan,ya,item4,2,B,GAMAIS ITB,3.2,Kepanitian,2
15016070,Teknik Sipil,Commercial and Operational,Commercial & Operational Manager,ya,item1,4,F,HMS,3.72,Webinar keprofesian,4
15016071,Teknik Sipil,Engineering,"Membuat desain perencanaan jalan dan jembatan, melakukan survei lapangan, berkoordinasi dengan pihak owner",ya,,4,F,Kabinet KM ITB,3.29,"Diskusi terbuka, pengmas, mentoring",5
15016072,Teknik Sipil,"Berhubungan dengan proyeksi lalu lintas jalan tol, tarif, dan kajian sejenisnya",,ya,item1,1,F,Himpunan Mahasiswa Sipil,3.45,"Critical thinking, communication skills, people management",4
15016075,Teknik Sipil,Konsultan Bantuan Teknis,"â€¢ Participate in meetings with relevant stakeholders, such as discussion of project screening with Value Engineering, application of Jalan Kita 2.0 programs, BIM implementation, and development planning for the National Capital (IKN)
â€¢ To recap the budget plan for road and bridge condition surveys for all provinces, recap travel time data on National Road, and prepare monthly reports of WIM Bridges (load measuring instrument moving vehicles that pass over the bridge)
â€¢ Assisting BIM implementation activities by applying the required software and its Common Data Environment platforms such as Autodesk InfraWorks and Autodesk Docs",ya,item1,4,O,Gamais ITB,3.17,Gamais ITB,4
15016076,Teknik Sipil,Perencanaan,,ya,item4,5,O,Unit Tenis ITB dan Himpunan Mahasiswa Sipil ITB,3.44,-,5
15016077,Teknik Sipil,Konsultansi Teknik Sipil,"Pekerjaan 1: Pelaporan progres proyek konsultansi sipil
Pekerjaan 2: Penyelenggaraan event brand marketing",ya,,2,M,AAEI dan KKN-T ITB,2.79,-,4
15016078,Teknik Sipil,administrasi kontrak,monitoring dan evaluasi proyek-proyek jalan dan jembatan yang dalam tahap persiapan maupun tahap konstruksi,ya,item3,4,F,Himpunan Mahasiswa Sipil,3.41,kepanitiaan karena mengasah skill komunikasi dengan orang-orang baru,5
15016079,Teknik Sipil,Konsultan,Mendesain jalan tol dan nasional dalam aspek tanah,ya,item1,4,F,Unit Kebudayaan Jepang,3.68,"Menjadi kepala bidang bahasa, lalu menjadi sekretaris badan pengurus. Belajar bekerja sama dengan orang lain",5
15016080,Teknik Sipil,Supervisor,,tidak,item4,4,D,Himpunan Mahasiswa ITB dan Kabinet KM-ITB,3.8,"Menjadi kepala departemen kesejahteraan anggota, menjadi mentor dan fasilitator, menjadi sekretaris dan bendahara",4
15016083,Teknik Sipil,Mendesain Gedung,Merancang dan Menganalisis Struktur Bangunan Gedung,ya,item1,5,F,Keluarga Mahasiswa Buddha,3.79,Program Penerimaan Mahasiswa Baru dan Program Pengabdian Masyarakat,5
15016086,Teknik Sipil,Structural Engineer,,ya,item1,2,F,Himpunan Mahasiswa Sipil,3.7,Kepala Departemen Dana Usaha HMS ITB 2019/2020,4
15016089,Teknik Sipil,Engineer,"1. Mendesain struktur yang berhubungan dengan geoteknik
2. Berkoordinasi dengan disiplin lain dalam suatu proyek",ya,,4,F,Pelita Muda ITB,3.34,Community development,5
15016090,Teknik Sipil,administrasi pemerintahan,"Jabatan sebagai Auditor Ahli Pertama, sampai saat ini bertugas melakukan analisis monitoring evaluasi dan administrasi dalam pengawasan AREPP (Audit, Reviu, Evaluasi, Pemantauan, dan Pengawasan Lainnya) bidang Bina Marga di Kementerian PUPR",ya,item3,4,O,U-Green ITB,3.17,Sekolah Ijo Muda U-Green,4
15016091,Teknik Sipil,,,,,5,,Himpunan Mahasiswa Sipil ITB,3.24,diskusi keprofesian,5
15016092,Teknik Sipil,Pelaksanaan monitoring dan evaluasi pekerjaan konstruksi,menjalankan ,ya,item2,4,F,Keluarga Mahasiswa Pecinta Alam 'Ganesha' ITB,3.08,"melatih softskill, kepemimpinan, kreatif, berpikir cepat, mental kuat, fisik kuat",4
15016093,Teknik Sipil,Sales,Sales,tidak,item5,5,D,URPA,3.32,Renang,5
15016094,Teknik Sipil,Staff,Tender konstruksi,ya,item2,4,A,Kmb itb,3.59,Keagamaan,2
15016097,Teknik Sipil,Pengembangan Sistem dan Riset Teknologi,Mengelola proses bisnis perusahaan dalam mencapai tujuan dan target perusahaan sesuai bidangnya. Proses bisnis ini terimplementasi melalui dokumen sistem manajemen perusahaan.,tidak,item3,2,F,HMS ITB,3.55,HMS ITB,1
15016098,Teknik Sipil,Assisting senior engineers,,ya,item1,2,F,HMS ITB,3.49,"Saat menjabat menjadi ketua divisi acara wisuda himpunan, saat menjadi staff departemen, dan saat menjadi ketua departemen",4
15016100,Teknik Sipil,,Pengadaan jembatan dan alat berat untuk seluruh daerah di Indonesia,,,5,,HMS ITB,3.33,Pelaksanaan Program Kerja,5
15016101,Teknik Sipil,Engineering,"Memastikan deliverable engineering selaras dengan kode, standar, dan persyaratan kontrak",ya,,1,F,HMS ITB,3.32,"Kepanitiaan wisuda, Kepanitiaan ICEE, Kepanitiaan Sipil Nite",1
